PersonIdCode,4601,4602,4603,4604,4605,4606,4607,4608,4609,4610,4611,4612,4613,4614,4615,4616,4617,4618,4619,4620,4701,4702,4703,4704,4705,4706,4707,4708,4709,4710,4711,4712,4713,4714,4715,4716,4717,4718,4801,4802,4803,4804,4805,4806,4807,4808,4809,4810,4811,4812,4813,4814,4815,4816,4817,4818,4819,4820,4901,4902,4903,4904,4905,4906,4907,4908,4909,4910,4911,4912,4913,4914,4915,4916,4917,4918,4919,4920,5001,5002,5003,5004,5005,5006
2618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,3,4,0,1,0,1,0,0,2,0,3,0,2,0,2,0,2,4,2,0,0,0,10,3,12,10,1,0,4,0,4,0,2,0,0,7,0,2,1,2,3,3,5,2,0,5,0,6,0,0
2619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,8,8,0,2,6,3,2,2,0,2,3,3,1,3,10,0,2,0,2,9,1,9,1,6,0,6,0,2,2,7,3,2,1,4,2,4,11,4,6,20,6,14,4,10,5,8,4,0,3,1,1,0,1,1,5,2,10,0,10,30,8
2621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,11,0,5,5,1,4,3,1,0,11,1,6,1,3,0,10,0,7,6,3,1,4,7,0,8,1,9,8,22,3,0,1,4,2,4,5,0,5,9,2,3,3,4,9,3,1,2,0,5,2,1,3,3,6,2,32,0,15,27,15
2623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,13,7,0,1,0,14,0,1,1,5,4,6,5,3,3,3,1,0,2,1,1,0,0,0,0,0,3,2,1,1,0,0,1,0,2,4,4,0,5,2,2,5,0,1,1,1,8,1,9,3,2,3,0,3,0,1,10,1,1,13,4
2627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,3,19,5,10,2,0,13,12,5,5,12,3,22,9,14,8,14,0,6,11,4,20,8,10,0,1,4,9,10,6,4,6,3,6,6,5,18,1,11,14,6,5,0,8,6,17,15,2,6,16,1,9,2,18,15,8,17,0,9,11,8
2629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,10,4,2,3,1,2,5,1,2,4,15,0,3,1,3,7,7,10,0,22,1,7,7,12,8,10,9,5,0,9,4,3,7,0,5,7,9,9,0,7,9,13,29,0,27,9,19,26,0,25,14,9,9,0,2,11,6
2630,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,2,3,6,2,11,1,3,9,6,6,2,4,5,9,0,10,6,1,6,5,1,0,11,4,9,17,8,18,11,12,3,6,5,10,1,8,12,12,9,2,6,2,7,6,1,9,3,4,11,2,5,13,5,3,1,1,9,4
2631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,2,4,6,17,1,6,15,2,0,4,6,5,3,15,6,4,7,0,15,10,17,6,24,5,0,10,24,18,7,10,21,21,8,21,19,11,16,0,6,8,10,12,10,17,13,11,9,2,20,12,16,14,8,20,7,13,13,8,9,5,11
2632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,3,11,4,9,7,11,13,9,3,8,3,17,8,15,8,6,18,0,24,11,11,27,7,11,0,11,19,19,3,16,7,24,6,13,26,8,17,2,20,8,9,11,7,26,15,11,3,2,7,0,1,6,1,2,8,4,3,2,10,13,3
2638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,1,1,2,1,3,0,2,1,2,5,10,2,2,3,0,2,3,2,8,0,6,0,0,1,7,6,3,2,4,0,1,3,2,1,0,7,3,0,1,0,4,2,0,0,4,2,3,2,3,0,6,0,4,1,0,7,6,0
2641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,4,3,3,7,5,3,8,6,0,12,5,6,3,3,4,4,3,2,5,3,2,7,0,13,0,2,5,40,32,10,12,33,0,13,7,34,9,0,8,4,4,15,0,8,5,6,9,0,7,6,7,31,0,40,23,10,6,0,5,3,6
