,Active,AdditionalActivity,AdditionalMandate,BirthPlace_Canton,BirthPlace_City,CantonAbbreviation,CantonName,Citizenship,CouncilAbbreviation,CouncilName,DateElection_at,DateJoining_at,DateLeaving_at,DateOath_at,DateOfBirth_at,DateOfDeath_at,DateResignation_at,FirstName,Gender,ID,LastName,Mandates,MaritalStatus,MilitaryRank,NumberOfChildren,ParlGroupAbbreviation,ParlGroupFunction,ParlGroupFunctionText,ParlGroupName,PartyAbbreviation,PartyName,PersonIdCode
357,false,,Vizepräsidentin SP Kanton St. Gallen: von Mai 1997 bis Mai 2001; Präsidentin SP Kanton St. Gallen: von Mai 2001 bis Juni 2004,,Frauenfeld,SG,St-Gall,"Appenzell (AI),Stettfurt (TG)",CN,Conseil national,2011-10-23,2011-12-05,2013-03-03,2011-12-05,1951-06-22,,2013-03-03,Hildegard,f,395,Fässler-Osterwalder,Legislative des Kantons (Kantonsrätin): von Juni 1992 bis November 1996,marié(e),,0.0,,,,,PSS,Parti socialiste suisse,2448.0
358,false,,Präsident der Eidgenössisch-Demokratischen Union von 1996 bis 2000,,Waldkirch,BE,Berne,Horrenbach-Buchen (BE),CN,Conseil national,2007-10-21,2007-12-03,2009-08-31,2007-12-03,1948-05-07,,2009-08-31,Christian,m,396,Waber,Exekutive der Gemeinde (Gemeinderat in Sumiswald): von 1984 bis 1992; Legislative des Kantons (Grossrat Kanton Bern): von 1990 bis 1997,marié(e),Premier-lieutenant,4.0,,,,,,,2449.0
359,false,,Vorstand RAV Oberwallis und OPRA Oberwallis,,Viège,VS,Valais,Viège (VS),CN,Conseil national,1997-05-28,1997-06-09,1999-06-10,1997-06-09,1954-08-11,,1999-06-10,Thomas,m,397,Burgener,"Gemeinderat Visp seit 1.1.1985, Grosser Rat Kt. VS seit 1991",marié(e),Soldat,2.0,,,,,PSS,Parti socialiste suisse,2450.0
360,false,,"Mitglied Gemeindegericht Herisau, Präsident Leitbildkommission Herisau",,Herisau,AR,Appenzell Rh.-Ext.,Beinwil am See (AG),CF,Conseil fédéral,2003-12-10,2003-12-10,2010-10-31,2003-12-10,1942-11-10,,2010-10-31,Hans-Rudolf,m,398,Merz,Legislative der Gemeinde: Einwohnerrat Herisau bis 1967,marié(e),Major,3.0,,,,,PLR,PLR.Les Libéraux-Radicaux,2451.0
361,false,,Präsident CVP Kanton Solothurn,,Neuendorf,SO,Soleure,Neuendorf (SO),CN,Conseil national,1997-09-29,1997-09-29,2003-11-30,1997-09-29,1951-04-21,,2003-11-30,Alex,m,399,Heim,"Kantonsrat von 1985 bis 1997; Fraktionspräsident 1996/97
Kantonsratspräsident 1994",marié(e),,3.0,,,,,,,2452.0
362,false,,"Stiftungsrätin Frauenhaus, VROEKK BS, VR Gasverbund Mittelland, Mitglied Spitalkommission PUK",,Bâle,BS,Bâle-Ville,Bâle (BS),CN,Conseil national,1997-12-19,1998-01-19,1999-12-05,1998-01-19,1959-10-06,,1999-12-05,Christine,f,402,Keller,Grosser Rat BS von 1984 bis 1997,célibataire,,3.0,,,,,PSS,Parti socialiste suisse,2453.0
363,false,,Schulpflege Horgen von 1977 bis 1986,,Horgen,ZH,Zurich,Horgen (ZH),CE,Conseil des Etats,2003-10-19,2003-12-01,2007-12-02,2003-12-01,1939-03-03,,2007-12-02,Hans,m,403,Hofmann,Gemeinderat 1977 bis 1986; Kantonsrat von 1983 bis 1987; Regierungsrat von 1987 bis 1999; Präsident SVP-Kantonsratsfraktion von 1986 bis 1987,marié(e),,2.0,,,,,,,2460.0
364,false,,,,Bâle,BL,Bâle-Campagne,Gelterkinden (BL),CN,Conseil national,2011-10-23,2011-12-05,2014-07-31,2011-12-05,1953-10-01,,2014-07-31,Caspar,m,404,Baader,Exekutive der Gemeinde Bannwil: von 1983 bis 1986,marié(e),Colonel,3.0,,,,,UDC,Union Démocratique du Centre,2454.0
365,false,,Vizepräsidentin der SP Schweiz: seit März 2008,,Wallisellen,ZH,Zurich,"Schaffhouse (SH),Winterthur (ZH),Rüdlingen (SH)",CN,Conseil national,2011-10-23,2011-12-05,2015-11-29,2011-12-05,1963-06-01,,2015-11-29,Jacqueline,f,405,Fehr,Legislative der Gemeinde Winterthur (Grosser Gemeinderat): von Mai 1990 bis Mai1992; Legislative des Kantons (Kantonsrat): von Mai 1991 bis Juni 1998,,,2.0,,,,,PSS,Parti socialiste suisse,2455.0
366,false,Divers conseils d'administration,,,Sierre,VS,Valais,St-Luc (VS),CN,Conseil national,1998-04-27,1998-04-27,2003-11-30,1998-04-27,1944-10-18,,2003-11-30,Charles-Albert,m,406,Antille,"Conseiller communal de 1985 à 1991, Président de la Ville de 1992 à 2001",marié(e),,,,,,,,,2456.0
367,false,,Co-Präsidentin der Grünen Partei der Schweiz: von Oktober 2001 bis Dezember 2003; Präsidentin der Grünen Partei der Schweiz: von Januar 2004 bis April 2008,,Schaffhouse,ZH,Zurich,Buch (SH),CN,Conseil national,2007-10-21,2007-12-03,2008-09-14,2007-12-03,1956-01-13,,2008-09-14,Ruth,f,407,Genner,Legislative des Kantons (Kantonsrätin Zürich) von Mai 1987 bis April 1997,,,,,,,,PES,Parti écologiste suisse,2457.0
368,false,,Kantonalpräsident der SVP: von 1992 bis 2003,,Glaris,GL,Glaris,"Sool (GL),Glaris (GL)",CE,Conseil des Etats,2011-10-23,2011-12-05,2014-02-13,2011-12-05,1952-05-04,2014-11-15,2014-02-13,This,m,408,Jenny,Exekutive der Gemeinde (Gemeinderat): von 1986 bis 2000; Legislative des Kantons (Kantonsrat/Landrat): von 1994 bis 2014,divorcé(e),Soldat,2.0,,,,,UDC,Union Démocratique du Centre,2458.0
369,false,,,,Lucerne,OW,Obwald,Engelberg (OW),CE,Conseil des Etats,2011-10-23,2011-12-05,2015-11-29,2011-12-05,1945-05-04,,2015-11-29,Hans,m,409,Hess,Legislative des Kantons: von 1978 bis 1981; Exekutive des Kantons: von 1981 bis 1989,marié(e),Premier-lieutenant,3.0,,,,,PLR,PLR.Les Libéraux-Radicaux,2459.0
370,false,,Délégué PDC-VS,,Savièse,VS,Valais,Savièse (VS),CN,Conseil national,1998-08-19,1998-09-21,1999-12-05,1998-09-21,1938-02-14,,1999-12-05,Gilbert,m,418,Debons,"Commune de Sion 1968 - 1976 (législatif), 1976 - 1996 Sion (exécutif), 1985 Président du Conseil exécutif de Sion",marié(e),,4.0,,,,,PDC,Parti démocrate-chrétien suisse,2462.0
371,false,,,,Genève 8,VD,Vaud,Genève (GE),CN,Conseil national,2003-10-19,2003-12-01,2007-12-02,2003-12-01,1955-05-20,,2007-12-02,Serge,m,419,Beck,"Conseil général/communal Le Vaud de juin 1975 à décembre 1997; Syndic de Le Vaud dès janvier 1998, Grand Conseil vaudois de avril 1986 à décembre 1998",marié(e),Sous-officier,2.0,,,,,,,2461.0
